# EIS post-launch calibration factors for 2011-07-02T03:38:08
# I_corrected = I_preflight * factor
# columns: wavelength[A]  NRL_Warren2014  DelZanna2013
   201.20   7.695106e-01   1.000113e+00
   201.30   7.598168e-01   1.001554e+00
   201.40   7.499406e-01   1.002400e+00
   201.50   7.399738e-01   1.002716e+00
   201.60   7.300043e-01   1.002587e+00
   201.70   7.201148e-01   1.002113e+00
   201.80   7.103845e-01   1.001422e+00
   201.90   7.008877e-01   1.000659e+00
   202.00   6.916952e-01   1.000000e+00
   202.10   6.825979e-01   1.000727e+00
   202.20   6.736150e-01   1.001508e+00
   202.30   6.648183e-01   1.002339e+00
   202.40   6.562760e-01   1.003215e+00
   202.50   6.480520e-01   1.004130e+00
   202.60   6.402081e-01   1.005074e+00
   202.70   6.328021e-01   1.006039e+00
   202.80   6.258901e-01   1.007014e+00
   202.90   6.195258e-01   1.007985e+00
   203.00   6.137614e-01   1.008938e+00
   203.10   6.081970e-01   1.010048e+00
   203.20   6.031203e-01   1.011158e+00
   203.30   5.985160e-01   1.012249e+00
   203.40   5.943702e-01   1.013299e+00
   203.50   5.906699e-01   1.014282e+00
   203.60   5.874034e-01   1.015174e+00
   203.70   5.845601e-01   1.015946e+00
   203.80   5.821301e-01   1.016572e+00
   203.90   5.801045e-01   1.017020e+00
   204.00   5.784756e-01   1.017262e+00
   204.10   5.766235e-01   1.016672e+00
   204.20   5.751747e-01   1.015692e+00
   204.30   5.740943e-01   1.014423e+00
   204.40   5.733485e-01   1.012979e+00
   204.50   5.729043e-01   1.011488e+00
   204.60   5.727292e-01   1.010087e+00
   204.70   5.727912e-01   1.008927e+00
   204.80   5.730585e-01   1.008165e+00
   204.90   5.734994e-01   1.007973e+00
   205.00   5.740827e-01   1.008534e+00
   205.10   5.743079e-01   1.011438e+00
   205.20   5.747274e-01   1.015363e+00
   205.30   5.753138e-01   1.020156e+00
   205.40   5.760393e-01   1.025641e+00
   205.50   5.768763e-01   1.031619e+00
   205.60   5.777972e-01   1.037865e+00
   205.70   5.787741e-01   1.044122e+00
   205.80   5.797787e-01   1.050108e+00
   205.90   5.807829e-01   1.055506e+00
   206.00   5.817581e-01   1.059975e+00
   206.10   5.824189e-01   1.062374e+00
   206.20   5.831088e-01   1.063819e+00
   206.30   5.838075e-01   1.064351e+00
   206.40   5.844945e-01   1.064025e+00
   206.50   5.851493e-01   1.062907e+00
   206.60   5.857512e-01   1.061074e+00
   206.70   5.862793e-01   1.058614e+00
   206.80   5.867127e-01   1.055619e+00
   206.90   5.870308e-01   1.052190e+00
   207.00   5.872124e-01   1.048433e+00
   207.10   5.871915e-01   1.044411e+00
   207.20   5.870766e-01   1.039751e+00
   207.30   5.868553e-01   1.034614e+00
   207.40   5.865152e-01   1.029169e+00
   207.50   5.860445e-01   1.023589e+00
   207.60   5.854309e-01   1.018050e+00
   207.70   5.846623e-01   1.012734e+00
   207.80   5.837271e-01   1.007825e+00
   207.90   5.826137e-01   1.003514e+00
   208.00   5.813107e-01   1.000000e+00
   208.10   5.797727e-01   9.983789e-01
   208.20   5.780573e-01   9.976065e-01
   208.30   5.761781e-01   9.975730e-01
   208.40   5.741474e-01   9.981629e-01
   208.50   5.719791e-01   9.992534e-01
   208.60   5.696858e-01   1.000711e+00
   208.70   5.672805e-01   1.002393e+00
   208.80   5.647761e-01   1.004140e+00
   208.90   5.621849e-01   1.005780e+00
   209.00   5.595197e-01   1.007126e+00
   209.10   5.567488e-01   1.006993e+00
   209.20   5.538861e-01   1.006626e+00
   209.30   5.509500e-01   1.006052e+00
   209.40   5.479585e-01   1.005302e+00
   209.50   5.449297e-01   1.004410e+00
   209.60   5.418813e-01   1.003414e+00
   209.70   5.388302e-01   1.002352e+00
   209.80   5.357933e-01   1.001267e+00
   209.90   5.327868e-01   1.000205e+00
   210.00   5.298266e-01   9.992142e-01
   210.10   5.267997e-01   9.980937e-01
   210.20   5.237976e-01   9.969444e-01
   210.30   5.208321e-01   9.958223e-01
   210.40   5.179158e-01   9.947866e-01
   210.50   5.150603e-01   9.938998e-01
   210.60   5.122771e-01   9.932289e-01
   210.70   5.095779e-01   9.928442e-01
   210.80   5.069734e-01   9.928203e-01
   210.90   5.044746e-01   9.932368e-01
   211.00   5.020922e-01   9.941778e-01
   211.10   4.998387e-01   9.957137e-01
   211.20   4.977136e-01   9.978369e-01
   211.30   4.956942e-01   1.000519e+00
   211.40   4.937592e-01   1.003730e+00
   211.50   4.918866e-01   1.007436e+00
   211.60   4.900556e-01   1.011601e+00
   211.70   4.882454e-01   1.016188e+00
   211.80   4.864352e-01   1.021155e+00
   211.90   4.846052e-01   1.026457e+00
   246.00   1.335038e+00   2.714046e+00
   246.10   1.332231e+00   2.720245e+00
   246.20   1.329592e+00   2.726755e+00
   246.30   1.327080e+00   2.733472e+00
   246.40   1.324654e+00   2.740290e+00
   246.50   1.322276e+00   2.747109e+00
   246.60   1.319906e+00   2.753827e+00
   246.70   1.317504e+00   2.760348e+00
   246.80   1.315032e+00   2.766574e+00
   246.90   1.312451e+00   2.772412e+00
   247.00   1.309724e+00   2.777770e+00
   247.10   1.307037e+00   2.783340e+00
   247.20   1.304272e+00   2.788637e+00
   247.30   1.301397e+00   2.793560e+00
   247.40   1.298381e+00   2.798012e+00
   247.50   1.295192e+00   2.801896e+00
   247.60   1.291798e+00   2.805121e+00
   247.70   1.288169e+00   2.807595e+00
   247.80   1.284276e+00   2.809230e+00
   247.90   1.280088e+00   2.809942e+00
   248.00   1.275576e+00   2.809647e+00
   248.10   1.270409e+00   2.807948e+00
   248.20   1.264873e+00   2.805215e+00
   248.30   1.259058e+00   2.801634e+00
   248.40   1.253048e+00   2.797388e+00
   248.50   1.246929e+00   2.792656e+00
   248.60   1.240785e+00   2.787611e+00
   248.70   1.234698e+00   2.782425e+00
   248.80   1.228747e+00   2.777264e+00
   248.90   1.223012e+00   2.772290e+00
   249.00   1.217569e+00   2.767661e+00
   249.10   1.212070e+00   2.762786e+00
   249.20   1.206707e+00   2.757908e+00
   249.30   1.201547e+00   2.753214e+00
   249.40   1.196660e+00   2.748889e+00
   249.50   1.192111e+00   2.745109e+00
   249.60   1.187967e+00   2.742047e+00
   249.70   1.184294e+00   2.739870e+00
   249.80   1.181156e+00   2.738738e+00
   249.90   1.178619e+00   2.738808e+00
   250.00   1.176747e+00   2.740227e+00
   250.10   1.175754e+00   2.743902e+00
   250.20   1.175454e+00   2.748905e+00
   250.30   1.175741e+00   2.754975e+00
   250.40   1.176512e+00   2.761856e+00
   250.50   1.177662e+00   2.769300e+00
   250.60   1.179088e+00   2.777066e+00
   250.70   1.180686e+00   2.784921e+00
   250.80   1.182350e+00   2.792639e+00
   250.90   1.183977e+00   2.800000e+00
   251.00   1.185460e+00   2.806795e+00
   251.10   1.186377e+00   2.812722e+00
   251.20   1.187285e+00   2.818419e+00
   251.30   1.188149e+00   2.823795e+00
   251.40   1.188936e+00   2.828763e+00
   251.50   1.189616e+00   2.833242e+00
   251.60   1.190153e+00   2.837152e+00
   251.70   1.190516e+00   2.840416e+00
   251.80   1.190670e+00   2.842964e+00
   251.90   1.190585e+00   2.844725e+00
   252.00   1.190226e+00   2.845636e+00
   252.10   1.189584e+00   2.845937e+00
   252.20   1.188682e+00   2.845459e+00
   252.30   1.187536e+00   2.844279e+00
   252.40   1.186167e+00   2.842476e+00
   252.50   1.184592e+00   2.840124e+00
   252.60   1.182830e+00   2.837294e+00
   252.70   1.180901e+00   2.834057e+00
   252.80   1.178822e+00   2.830479e+00
   252.90   1.176614e+00   2.826626e+00
   253.00   1.174295e+00   2.822559e+00
   253.10   1.172079e+00   2.818858e+00
   253.20   1.169732e+00   2.814851e+00
   253.30   1.167265e+00   2.810592e+00
   253.40   1.164689e+00   2.806134e+00
   253.50   1.162016e+00   2.801526e+00
   253.60   1.159256e+00   2.796816e+00
   253.70   1.156420e+00   2.792050e+00
   253.80   1.153520e+00   2.787272e+00
   253.90   1.150567e+00   2.782523e+00
   254.00   1.147571e+00   2.777844e+00
   254.10   1.144701e+00   2.773310e+00
   254.20   1.141793e+00   2.768764e+00
   254.30   1.138840e+00   2.764247e+00
   254.40   1.135839e+00   2.759794e+00
   254.50   1.132787e+00   2.755440e+00
   254.60   1.129680e+00   2.751221e+00
   254.70   1.126513e+00   2.747167e+00
   254.80   1.123283e+00   2.743309e+00
   254.90   1.119987e+00   2.739675e+00
   255.00   1.116621e+00   2.736293e+00
   255.10   1.113248e+00   2.733783e+00
   255.20   1.109813e+00   2.731551e+00
   255.30   1.106323e+00   2.729502e+00
   255.40   1.102783e+00   2.727549e+00
   255.50   1.099201e+00   2.725604e+00
   255.60   1.095582e+00   2.723583e+00
   255.70   1.091932e+00   2.721406e+00
   255.80   1.088257e+00   2.718997e+00
   255.90   1.084564e+00   2.716280e+00
   256.00   1.080858e+00   2.713185e+00
   256.10   1.077229e+00   2.710069e+00
   256.20   1.073585e+00   2.706707e+00
   256.30   1.069932e+00   2.703068e+00
   256.40   1.066274e+00   2.699124e+00
   256.50   1.062617e+00   2.694844e+00
   256.60   1.058967e+00   2.690204e+00
   256.70   1.055330e+00   2.685179e+00
   256.80   1.051709e+00   2.679744e+00
   256.90   1.048111e+00   2.673880e+00
   257.00   1.044541e+00   2.667566e+00
   257.10   1.041086e+00   2.661108e+00
   257.20   1.037661e+00   2.654217e+00
   257.30   1.034266e+00   2.646954e+00
   257.40   1.030900e+00   2.639379e+00
   257.50   1.027567e+00   2.631548e+00
   257.60   1.024264e+00   2.623516e+00
   257.70   1.020995e+00   2.615334e+00
   257.80   1.017757e+00   2.607052e+00
   257.90   1.014554e+00   2.598716e+00
   258.00   1.011385e+00   2.590371e+00
   258.10   1.008289e+00   2.581866e+00
   258.20   1.005230e+00   2.573219e+00
   258.30   1.002211e+00   2.564538e+00
   258.40   9.992384e-01   2.555924e+00
   258.50   9.963158e-01   2.547474e+00
   258.60   9.934480e-01   2.539279e+00
   258.70   9.906392e-01   2.531425e+00
   258.80   9.878945e-01   2.523995e+00
   258.90   9.852181e-01   2.517068e+00
   259.00   9.826145e-01   2.510718e+00
   259.10   9.801303e-01   2.505236e+00
   259.20   9.777183e-01   2.500242e+00
   259.30   9.753808e-01   2.495679e+00
   259.40   9.731217e-01   2.491496e+00
   259.50   9.709433e-01   2.487640e+00
   259.60   9.688494e-01   2.484064e+00
   259.70   9.668427e-01   2.480721e+00
   259.80   9.649265e-01   2.477566e+00
   259.90   9.631038e-01   2.474555e+00
   260.00   9.613779e-01   2.471646e+00
   260.10   9.598081e-01   2.468685e+00
   260.20   9.583406e-01   2.465896e+00
   260.30   9.569740e-01   2.463242e+00
   260.40   9.557068e-01   2.460687e+00
   260.50   9.545376e-01   2.458196e+00
   260.60   9.534652e-01   2.455734e+00
   260.70   9.524882e-01   2.453271e+00
   260.80   9.516040e-01   2.450773e+00
   260.90   9.508080e-01   2.448211e+00
   261.00   9.500947e-01   2.445554e+00
   261.10   9.495014e-01   2.442955e+00
   261.20   9.489917e-01   2.440321e+00
   261.30   9.485636e-01   2.437627e+00
   261.40   9.482153e-01   2.434849e+00
   261.50   9.479447e-01   2.431967e+00
   261.60   9.477503e-01   2.428960e+00
   261.70   9.476300e-01   2.425805e+00
   261.80   9.475821e-01   2.422484e+00
   261.90   9.476050e-01   2.418978e+00
   262.00   9.476970e-01   2.415269e+00
   262.10   9.479064e-01   2.411781e+00
   262.20   9.481815e-01   2.408140e+00
   262.30   9.485229e-01   2.404327e+00
   262.40   9.489302e-01   2.400322e+00
   262.50   9.494040e-01   2.396107e+00
   262.60   9.499439e-01   2.391663e+00
   262.70   9.505506e-01   2.386975e+00
