y0,y1,x0,x1,Si_VII_275.368,Fe_IX_188.497,Fe_IX_197.862,Fe_X_184.536,Fe_XI_180.401,Fe_XI_188.216,S_X_264.233,Si_X_258.375,Fe_XII_192.394,Fe_XII_195.119,Fe_XIII_202.044,Fe_XIII_203.826,Fe_XIV_264.787,Fe_XIV_270.519,Fe_XV_284.160,S_XIII_256.686,Fe_XVI_262.984,Ar_XIV_194.396,Ca_XIV_193.874,Ca_XV_200.972,Ca_XVI_208.604,Ca_XVII_192.858
180,200,36,42,0.2937,0.3356,0.4445,0.4827,0.6084,0.5822,0.8686,0.8460,0.5861,0.6217,0.7842,0.3686,0.8466,0.9722,0.8486,0.5964,0.5336,0.0651,0.1345,0.1099,0.2734,1.8852
180,200,44,50,0.3231,0.4178,0.5740,0.5875,0.7291,0.7303,1.0537,1.0962,0.7456,0.7746,0.9214,0.4901,0.9402,1.0576,0.7969,0.4895,0.4064,0.0587,0.0941,0.1145,0.0000,2.3708
200,220,4,10,0.3109,0.6802,0.8017,0.8468,1.0601,1.0270,0.6712,0.6546,0.9671,1.0035,1.0266,0.5019,0.3617,0.4152,0.3230,0.1708,0.1255,0.0576,0.0649,0.0455,0.0000,3.5345
200,220,12,18,0.3066,0.3932,0.5045,0.5504,0.7316,0.7062,0.6208,0.6719,0.7078,0.7462,0.8747,0.4034,0.4753,0.5427,0.5118,0.2832,0.2815,0.0737,0.1282,0.1166,0.0000,2.4337
200,220,20,26,0.5566,0.3194,0.4198,0.4802,0.6547,0.6444,1.5123,1.6235,0.7213,0.7462,0.9584,0.5412,1.6043,1.6448,1.2998,1.2730,1.1476,0.1737,0.3440,0.2933,0.0605,2.2119
200,220,28,34,0.6125,0.4471,0.5665,0.6084,0.8105,0.8085,1.2157,1.4605,0.9544,0.9557,1.1798,0.8223,1.5986,1.6264,1.3357,1.3644,1.3813,0.2317,0.4541,0.3934,0.6289,2.9119
200,220,36,42,0.7047,0.5214,0.7209,0.7230,1.0030,1.0249,1.7528,1.9985,1.2167,1.2024,1.3909,1.0773,1.8065,1.8450,1.2486,1.0740,1.0385,0.2563,0.3402,0.2680,0.0000,3.5702
200,220,44,50,0.9776,0.7169,0.9792,0.9764,1.2932,1.3699,1.9382,2.4912,1.5662,1.5206,1.6057,1.3563,1.8471,1.8701,1.1036,0.7653,0.7541,0.2259,0.1944,0.1551,0.0000,4.8068
220,240,4,10,0.3257,0.6323,0.7982,0.7616,0.9406,0.8945,0.3860,0.4416,0.8485,0.9130,1.0300,0.4205,0.2657,0.3231,0.2932,0.1122,0.1131,0.0363,0.0438,0.0848,0.0000,2.9495
220,240,12,18,0.6061,0.4299,0.5386,0.5797,0.7852,0.7460,0.5111,0.6797,0.7987,0.8426,0.9812,0.5458,0.5059,0.5841,0.4894,0.2341,0.2483,0.0888,0.1981,0.2103,0.1260,2.6884
220,240,20,26,1.0808,1.1169,1.1238,1.2663,1.4987,1.5713,1.3665,2.2460,1.7581,1.7680,1.6587,1.9450,1.6169,1.6420,1.1684,0.7482,0.8193,0.5192,0.8040,0.7914,0.2986,5.7470
220,240,28,34,0.8623,0.9039,0.9849,1.0722,1.2334,1.3035,1.6694,2.2180,1.4932,1.4838,1.4911,1.6734,2.1018,2.0378,1.4731,1.2314,1.3204,0.6696,1.0450,1.0381,1.5786,5.6140
